Upgrade name,Rarity,What it does,Stat changes,Stacking
Thruster Tuning,Common,Increases the player's speed incrementally,+8% speed,Every singel one picked up gives the same stat added onto the base stat. So 1 would be 108% two would be 116% and so on.
Weapon Cooling,Common,Increases the player's fire rate incrementally,+10% fire rate,Every singel one picked up gives the same stat added onto the base stat. So 1 would be 110% two would be 120% and so on.
(a few) sharp bullets,Common,Adds a chance for a critical strike that deals triple damage,+10% critical chance,"Every singel one picked up gives the same stat added onto the base stat. So 1 would be 110% two would be 120% and so on. After 10 of these items they become useless becouse the player then has 100% critical chance,"
GPS tracker,Common,Adds bullet accuracy so they have a better chance to fly more towards your cursor and have a tighter spread,+1 accuracy,At '+5 the bullets should be flying accurately towards the cursor and getting any more of these would be useless.
A bat (the wooden type),Common,Every fift shot pushes the enemy back a little,+1 knockback on every fift shot,This value should decrease exponentially so every upgrade you get should give less and less knockback. (Needs a formula)
Green Juice,Common,15% Chance to inflict the enemie with poison every shot. The poison inflicts 15% of the enemies max health amount of damage onto the enemie and the poison goes away after 4 seconds. If an enemie is poisoned and gets hit with another poisoned bullet it resets the 4 second countdown.,+15% chance to inflict poison which deals '+15% of the enemeis max health amount of damage.,Stacking this item should give increased chance to inflict poison and increased max health damage. But it should have a heavy dropoff after the first one and also decrease exponentially so every upgrede you get gives lass and leass chance and damage and the second upgrade should have only about a 10% increase the third like a 7% and so on.
Cactus armor,Common,Kills any common enemie that is really close to you for half a second or one that damages you.,+1 cactus armor,When getting this item a second time it changes so that when the effect of the upgrade activates (enemies get really close and die after half a second or they damage the player) it shoots out bullets in many directions as well. Getting a third one and onward is useless.
Waller,Common,Bullets bounce off walls now but only once,+1 bounce and '+1 bullet speed on further stacking.,Staking this item further adds velocity to the bullets that have bounced off walls. The velocity increace is exponentially decreasing.
One bullet per sometimes,Common,Shoots an additional bullet in a random direction 30% of the time,+1 random bullet,"Stacking this item further would exponantially increase the bullet chance of shooting but there should also be a big dropoff. Example: 1st upgrade 30%, 2nd upgrade 37%, 3rd upgrade 41.5%, and so on. (Example value are not fixed but should be a fairly accuret value represantation."
The shift key,Common,"Unlock a ""dash"" that can be activated by pressing the button shift. When pressed the player dashes a short distance and ignores damage. Has a cooldown of 15 seconds.",+1 dash,Stacking this item increases the dash distance a very short amount exponensialy decreasingly.
